,activation,batch_size,data_directory,data_name,features,input_keep_prob,layers_units,learning_rate,num_epochs,optimizer,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent
104,relu,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,4,18,0.95,True
105,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,gru,2,18,0.95,True
106,relu,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,2,24,0.95,True
107,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,4,24,0.95,True
108,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,gru,4,18,0.95,True
109,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,4,18,0.95,True
110,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,gru,4,24,0.95,True
111,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,gru,2,18,0.95,True
112,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
113,relu,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,4,24,0.95,True
114,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,2,18,0.95,True
115,relu,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,4,18,0.95,True
116,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,lstm,2,24,0.95,True
117,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,gru,2,24,0.95,True
118,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
119,tanh,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,gru,2,18,0.95,True
120,tanh,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,gru,4,18,0.95,True
121,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,4,24,0.95,True
122,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
123,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,gru,4,24,0.95,True
124,relu,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
125,sigmoid,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,gru,2,18,0.95,True
126,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,rmsprop,0.95,20,gru,4,18,0.95,True
127,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,lstm,2,24,0.95,True
128,sigmoid,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,rmsprop,0.95,20,gru,4,24,0.95,True
129,tanh,8,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,adam,0.95,20,gru,4,18,0.95,True
130,relu,16,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[32, 4]",0.005,2000,adam,0.95,20,gru,4,18,0.95,True
131,sigmoid,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[64, 4]",0.005,2000,rmsprop,0.95,20,gru,2,24,0.95,True
132,relu,32,./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",1.0,"[16, 4]",0.005,2000,adam,0.95,20,lstm,2,18,0.95,True
