,activation,batch_size,dropout_rate,features,hidden_layers,learning_rate,name,num_epochs,optimizer,patience,sliding_inference
162,sigmoid,32,0.3,['meanCPUUsage'],[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
163,tanh,16,0.5,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,16
164,sigmoid,16,0.1,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
165,tanh,32,0.1,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
166,tanh,16,0.3,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
167,tanh,32,0.1,['meanCPUUsage'],[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
168,sigmoid,32,0.1,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
169,tanh,16,0.5,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,16
170,sigmoid,16,0.5,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
171,tanh,16,0.5,['meanCPUUsage'],[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
172,tanh,16,0.3,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
173,tanh,32,0.5,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
174,tanh,16,0.5,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
175,sigmoid,16,0.1,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
176,tanh,32,0.5,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
177,tanh,16,0.5,['meanCPUUsage'],"[32, 16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
178,sigmoid,32,0.3,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
179,sigmoid,16,0.1,['meanCPUUsage'],[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
180,tanh,32,0.3,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
181,tanh,16,0.3,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
182,tanh,16,0.5,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,16
183,tanh,16,0.3,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
184,tanh,16,0.1,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
185,tanh,16,0.1,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,16
186,tanh,32,0.3,['meanCPUUsage'],"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
187,tanh,16,0.3,['meanCPUUsage'],"[16, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
188,sigmoid,32,0.3,['meanCPUUsage'],"[8, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,4
189,sigmoid,16,0.3,['meanCPUUsage'],[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
190,sigmoid,32,0.5,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,16
191,tanh,16,0.5,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
192,tanh,32,0.3,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,8
193,tanh,32,0.5,['meanCPUUsage'],[16],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
194,sigmoid,32,0.5,['meanCPUUsage'],[8],0.001,data_resource_usage_5Minutes_6176858948.csv,2000,rmsprop,15,8
195,sigmoid,16,0.1,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
196,sigmoid,32,0.1,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,16
197,tanh,32,0.3,['meanCPUUsage'],"[32, 4]",0.001,data_resource_usage_5Minutes_6176858948.csv,2000,adam,15,4
